state_or_ut,population_2011,density_per_sq_km_2011,territorial_note
Andhra Pradesh,49386799,308,"2011 districts aligned to the post-bifurcation state"
Arunachal Pradesh,1383727,17,
Assam,31205576,398,
Bihar,104099452,1106,
Chhattisgarh,25545198,189,
Goa,1458545,394,
Gujarat,60439692,308,
Haryana,25351462,573,
Himachal Pradesh,6864602,123,
Jharkhand,32988134,414,
Karnataka,61095297,319,
Kerala,33406061,860,
Madhya Pradesh,72626809,236,
Maharashtra,112374333,365,
Manipur,2855794,115,"Updated Census 2011 population"
Meghalaya,2966889,132,
Mizoram,1097206,52,
Nagaland,1978502,119,
Odisha,41974218,270,
Punjab,27743338,551,
Rajasthan,68548437,200,
Sikkim,610577,86,
Tamil Nadu,72147030,555,
Telangana,35193978,312,"2011 districts aligned to the post-bifurcation state"
Tripura,3673917,350,
Uttar Pradesh,199812341,828,
Uttarakhand,10086292,189,
West Bengal,91276115,1028,
Andaman and Nicobar Islands,380581,46,
Chandigarh,1055450,9252,
Dadra and Nagar Haveli and Daman and Diu,586620,,"Combined from the two 2011 union-territory totals"
Delhi,16787941,11320,"Census label: NCT of Delhi"
Jammu and Kashmir,11992724,,"Derived from 2011 district totals after excluding Leh and Kargil; current-boundary reference"
Ladakh,274289,5,"Sum of Leh and Kargil Census 2011 district totals"
Lakshadweep,64473,2149,
Puducherry,1247953,2547,
